# Plate File Name: 16s_Plate_3.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 04:51:02 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 04:51:09 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 06:06:39 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 30 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
50,E2,Standard 5,Target 1,UNKNOWN,SYBR,None,Amp,21.04477319,26.33203894,0.946970649,6.778631152,TRUE,0.218324067,TRUE,3,16,,,,,FALSE
51,E3,Standard 5,Target 1,UNKNOWN,SYBR,None,Amp,21.03704399,26.33203894,0.958527093,6.778631152,TRUE,0.218324067,TRUE,3,16,,,,,FALSE
52,E4,E. Coli STD,Target 1,UNKNOWN,SYBR,None,Amp,11.26721062,26.33203894,0.973625237,6.778631152,TRUE,0.218324067,TRUE,3,6,,,,,FALSE
53,E5,E. Coli STD,Target 1,UNKNOWN,SYBR,None,Amp,11.24241607,26.33203894,0.970693789,6.778631152,TRUE,0.218324067,TRUE,3,6,,,,,FALSE
54,E6,E. Coli STD,Target 1,UNKNOWN,SYBR,None,Amp,11.23584701,26.33203894,0.980587284,6.778631152,TRUE,0.218324067,TRUE,3,6,,,,,FALSE
55,E7,W-L-1,Target 1,UNKNOWN,SYBR,None,Amp,33.38063529,26.33203894,0.940029065,6.778631152,TRUE,0.218324067,TRUE,3,28,,,,,FALSE
56,E8,W-L-1,Target 1,UNKNOWN,SYBR,None,Amp,32.34180349,26.33203894,0.940194629,6.778631152,TRUE,0.218324067,TRUE,3,26,,,,,FALSE
57,E9,W-L-1,Target 1,UNKNOWN,SYBR,None,Amp,32.57902857,26.33203894,0.936797705,6.778631152,TRUE,0.218324067,TRUE,3,27,,,,,FALSE
58,E10,EC-5,Target 1,UNKNOWN,SYBR,None,Amp,30.16532245,26.33203894,0.944814867,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
59,E11,EC-5,Target 1,UNKNOWN,SYBR,None,Amp,29.8513547,26.33203894,0.959092489,6.778631152,TRUE,0.218324067,TRUE,3,24,,,,,FALSE
60,E12,EC-5,Target 1,UNKNOWN,SYBR,None,Amp,29.94859626,26.33203894,0.958377155,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
61,F1,Standard 6,Target 1,UNKNOWN,SYBR,None,Amp,24.46336452,26.33203894,0.946043329,6.778631152,TRUE,0.218324067,TRUE,3,19,,,,,FALSE
62,F2,Standard 6,Target 1,UNKNOWN,SYBR,None,Amp,24.47641625,26.33203894,0.952806334,6.778631152,TRUE,0.218324067,TRUE,3,20,,,,,FALSE
63,F3,Standard 6,Target 1,UNKNOWN,SYBR,None,Amp,24.40999497,26.33203894,0.962318401,6.778631152,TRUE,0.218324067,TRUE,3,19,,,,,FALSE
64,F4,C-D-19,Target 1,UNKNOWN,SYBR,None,Amp,28.58724625,26.33203894,0.940817823,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
65,F5,C-D-19,Target 1,UNKNOWN,SYBR,None,Amp,28.65043227,26.33203894,0.948834139,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
66,F6,C-D-19,Target 1,UNKNOWN,SYBR,None,Amp,28.42238375,26.33203894,0.953491488,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
67,F7,S-L-28,Target 1,UNKNOWN,SYBR,None,Amp,30.94184896,26.33203894,0.947184835,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
68,F8,S-L-28,Target 1,UNKNOWN,SYBR,None,Amp,30.93898569,26.33203894,0.955882491,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
69,F9,S-L-28,Target 1,UNKNOWN,SYBR,None,Amp,31.07879213,26.33203894,0.932703018,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
70,F10,V-N-1,Target 1,UNKNOWN,SYBR,None,Amp,30.67238186,26.33203894,0.942034703,6.778631152,TRUE,0.218324067,TRUE,3,26,,,,,FALSE
71,F11,V-N-1,Target 1,UNKNOWN,SYBR,None,Amp,30.23387271,26.33203894,0.961773887,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
72,F12,V-N-1,Target 1,UNKNOWN,SYBR,None,Amp,30.27588401,26.33203894,0.950433028,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
73,G1,Standard 7,Target 1,UNKNOWN,SYBR,None,Amp,27.83244657,26.33203894,0.957164333,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
74,G2,Standard 7,Target 1,UNKNOWN,SYBR,None,Amp,27.64852893,26.33203894,0.964274657,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
75,G3,Standard 7,Target 1,UNKNOWN,SYBR,None,Amp,27.8317958,26.33203894,0.966587703,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
76,G4,C-L-9,Target 1,UNKNOWN,SYBR,None,Amp,27.67478519,26.33203894,0.959278105,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
77,G5,C-L-9,Target 1,UNKNOWN,SYBR,None,Amp,27.64254119,26.33203894,0.9530462,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
78,G6,C-L-9,Target 1,UNKNOWN,SYBR,None,Amp,27.54982002,26.33203894,0.943764497,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
79,G7,V-N-20,Target 1,UNKNOWN,SYBR,None,Amp,29.44641023,26.33203894,0.950609115,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
80,G8,V-N-20,Target 1,UNKNOWN,SYBR,None,Amp,29.25670783,26.33203894,0.952935152,6.778631152,TRUE,0.218324067,TRUE,3,24,,,,,FALSE
81,G9,V-N-20,Target 1,UNKNOWN,SYBR,None,Amp,29.39192153,26.33203894,0.947784778,6.778631152,TRUE,0.218324067,TRUE,3,24,,,,,FALSE
82,G10,V-N-16,Target 1,UNKNOWN,SYBR,None,Amp,28.88706592,26.33203894,0.958202818,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
83,G11,V-N-16,Target 1,UNKNOWN,SYBR,None,Amp,29.11537621,26.33203894,0.956329318,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
84,G12,V-N-16,Target 1,UNKNOWN,SYBR,None,Amp,28.79925834,26.33203894,0.927650866,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
85,H1,NTC,Target 1,UNKNOWN,SYBR,None,Amp,33.15744308,26.33203894,0.940581289,6.778631152,TRUE,0.218324067,TRUE,3,28,,,,,FALSE
86,H2,NTC,Target 1,UNKNOWN,SYBR,None,Amp,32.87656584,26.33203894,0.952989171,6.778631152,TRUE,0.218324067,TRUE,3,27,,,,,FALSE
87,H3,NTC,Target 1,UNKNOWN,SYBR,None,Amp,32.87254747,26.33203894,0.935506113,6.778631152,TRUE,0.218324067,TRUE,3,28,,,,,FALSE
88,H4,C-D-9,Target 1,UNKNOWN,SYBR,None,Amp,27.83275093,26.33203894,0.949058417,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
89,H5,C-D-9,Target 1,UNKNOWN,SYBR,None,Amp,27.61923555,26.33203894,0.949347565,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
90,H6,C-D-9,Target 1,UNKNOWN,SYBR,None,Amp,27.55327917,26.33203894,0.944081101,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
91,H7,W-L-27,Target 1,UNKNOWN,SYBR,None,Amp,29.1968936,26.33203894,0.949583568,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
92,H8,W-L-27,Target 1,UNKNOWN,SYBR,None,Amp,29.65921035,26.33203894,0.940274244,6.778631152,TRUE,0.218324067,TRUE,3,24,,,,,FALSE
93,H9,W-L-27,Target 1,UNKNOWN,SYBR,None,Amp,29.76905174,26.33203894,0.913744305,6.778631152,TRUE,0.218324067,TRUE,3,25,,,,,FALSE
94,H10,W-L-23,Target 1,UNKNOWN,SYBR,None,Amp,28.0822263,26.33203894,0.933834046,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
95,H11,W-L-23,Target 1,UNKNOWN,SYBR,None,Amp,28.17042532,26.33203894,0.932735206,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
96,H12,W-L-23,Target 1,UNKNOWN,SYBR,None,Amp,28.2595987,26.33203894,0.919895094,6.778631152,TRUE,0.218324067,TRUE,3,23,,,,,FALSE
